User Input,Chatbot Response,Timestamp
hi,Hello! How can I assist you today?,2024-12-05 21:51:03
hello ,Hello! How can I assist you today?,2024-12-06 19:17:16
whats you doing,Hey! How can I help?,2024-12-06 19:18:03
hello,Hi there! What can I do for you?,2024-12-06 19:18:48
hello ,Hey! How can I help?,2024-12-06 19:24:44
hello ,Hi there! What can I do for you?,2024-12-06 19:25:02
hello ,Hey! How can I help?,2024-12-06 19:25:14
hello,Hey! How can I help?,2024-12-06 19:28:19
whats you doing,Hello! How can I assist you today?,2024-12-06 19:28:29
hello,Hey! How can I help?,2024-12-06 19:33:04
how are you,Hi there! What can I do for you?,2024-12-06 19:33:12
whats you doing,Hello! How can I assist you today?,2024-12-06 19:33:21
tell me a joke,Why donâ€™t skeletons fight each other? They donâ€™t have the guts!,2024-12-06 19:33:29
how ,Hello! How can I assist you today?,2024-12-06 19:33:40
how,Hey! How can I help?,2024-12-06 19:33:46
